Latitude,Longitude,Route Number,Type,Crash Severity,Incident Date,Road Name,Score
37.956017,-78.645215,692,Arrest,,6/20/2015,4600 PLANK RD,0.022813036
38.160874,-78.474701,743,Arrest,,6/10/2015,4600 ADVANCE MILLS RD,0.014030319
37.991682,-78.343171,250,Arrest,,10/19/2013,4600 RICHMOND RD,0.016825849
38.09698,-78.457083,29,Arrest,,9/3/2010,4700 MONACAN TR,0.012304447
38.166577,-78.413118,29,Arrest,,12/8/2011,4700 SEMINOLE TR,0.012304447
38.060621,-78.611093,250,Arrest,,5/9/2016,4800 IVY RD,0.016825849
38.09698,-78.457083,29,Arrest,,6/7/2012,4800 MONACAN TR,0.012304447
37.988677,-78.337107,250,Arrest,,5/11/2013,4800 RICHMOND RD,0.016825849
37.954541,-78.652946,692,Arrest,,8/22/2010,4800 PLANK RD,0.022813036
38.133805,-78.329145,20,Arrest,,10/20/2010,4900 STONY POINT RD,0.030377569
37.987345,-78.333032,250,Arrest,,10/26/2013,4900 RICHMOND RD,0.016825849
38.051621,-78.673126,250,Arrest,,7/28/2010,5000 ROCKFISH GAP TPK,0.016825849
37.987951,-78.324647,250,Arrest,,2/3/2010,5000 RICHMOND RD,0.016825849
38.09698,-78.457083,29,Arrest,,8/25/2015,5000 MONICAN TR RD,0.012304447
38.137412,-78.328273,20,Arrest,,3/20/2013,5000 STONY PT RD,0.030377569
38.175249,-78.407585,29,Arrest,,9/19/2016,5000 SEMINOLE TR,0.012304447
38.048316,-78.465066,631,Arrest,,12/14/2011,500 E RIO RD,0.022779613
38.048316,-78.465066,631,Arrest,,1/19/2012,500 E RIO RD,0.022779613
38.01741,-78.542954,29,Arrest,,8/6/2010,500 MONACAN TRAIL,0.012304447
37.808228,-78.516913,6,Arrest,,3/12/2013,500 IRISH RD,0.022074779
38.097049,-78.458011,29,Arrest,,8/9/2015,500 MONACAN TR,0.012304447
38.007696,-78.52022,631,Arrest,,5/12/2012,500 OLD LYNCHBURG RD,0.022779613
