Route.Number,Seg.Number,Latitude,Longitude,Incident.Date,Time,Day,Road.Name,Crash.Severity,Direction,Light.Condition,Roadway.Type,Surface.Type,Type,Density.Score,DD.Check.Score,Seg.Density.Score,Seg.DD.Check.Score,Den.Top20Rt,Den.Top50Seg,DD.Top20Rt,DD.Top50Seg
29,118,38.00489,-78.578467,12/18/2015,12:00:00 AM,Wed,1400 MONACAN TRL,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
20,32,38.036358,-78.452968,7/13/2013,12:00:00 AM,Fri,1400 STONY POINT RD,,,,,,Arrest,0.030377569,1.56347032,0.001774194,0.080365297,Yes,Yes,Yes,Yes
729,1231,38.111552,-78.450317,10/27/2016,12:00:00 AM,Fri,1400 ASHLAND DR,,,,,,Arrest,0.011018371,0.226484018,0.001666667,0.014611872,Yes,No,Yes,No
29,118,38.076873,-78.478472,10/29/2013,12:00:00 AM,Sun,1400 SEMINOLE TR,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
671,949,38.21768,-78.549578,10/3/2010,12:00:00 AM,Tue,1400 DAVIS SHOP RD,,,,,,Arrest,0.014345404,0.029223744,0,0.007305936,No,No,No,No
631,654,37.975494,-78.545467,1/3/2011,12:00:00 AM,Tue,1400 OLD LYNCHBURG RD,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
631,654,38.074786,-78.468119,1/12/2010,12:00:00 AM,Thu,1400 E RIO RD,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
1117,1691,38.022259,-78.449992,5/7/2016,12:00:00 AM,Sat,1500 STATE FARM BLVD,,,,,,Arrest,0.00031746,0.014611872,0,0.014611872,No,No,No,No
20,32,38.040614,-78.446592,8/12/2010,12:00:00 AM,Thu,1500 STONY POINT RD,,,,,,Arrest,0.030377569,1.56347032,0.001774194,0.080365297,Yes,Yes,Yes,Yes
631,654,37.970869,-78.547495,1/5/2012,7:35:00 PM,Thu,1500 OLD LYNCHBURG RD,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
